Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed
2009/10,Anaheim,F,"Calder, Kyle",Eye,$0.500m,$37k,6
2009/10,Anaheim,F,"Carter, Ryan",Foot,$0.625m,$23k,3
2009/10,Anaheim,F,"Carter, Ryan",Foot,$0.625m,$168k,22
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$65k,1
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$130k,2
2009/10,Anaheim,F,"Getzlaf, Ryan",Ankle,$5.325m,$584k,9
2009/10,Anaheim,F,"Getzlaf, Ryan",Leg,$5.325m,$260k,4
2009/10,Anaheim,F,"Koivu, Saku",Groin,$3.250m,$198k,5
2009/10,Anaheim,F,"Koivu, Saku",Knee,$3.250m,$159k,4
2009/10,Anaheim,F,"Lupul, Joffrey",Back,$4.250m,$363k,7
2009/10,Anaheim,F,"Lupul, Joffrey",Back,$4.250m,"$2,695k",52
2009/10,Anaheim,F,"Nokelainen, Petteri",Abdominal,$0.850m,$31k,3
2009/10,Anaheim,F,"Parros, George",Head,$0.875m,$21k,2
2009/10,Anaheim,F,"Ryan, Bobby",Flu,$1.922m,$23k,1
2009/10,Anaheim,F,"Selanne, Teemu",Flu,$2.625m,$32k,1
2009/10,Anaheim,F,"Selanne, Teemu",Hand,$2.625m,$544k,17
2009/10,Anaheim,F,"Selanne, Teemu",Jaw,$2.625m,$256k,8
2009/10,Anaheim,D,"Eminger, Steve",Back,$1.125m,$14k,1
2009/10,Anaheim,D,"Eminger, Steve",Flu,$1.125m,$41k,3
2009/10,Anaheim,D,"Visnovsky, Lubomir",Hand,$5.600m,$205k,3
2009/10,Anaheim,D,"Ward, Aaron",Foot,$2.500m,$30k,1
2009/10,Anaheim,D,"Wisniewski, James",Shoulder,$2.750m,$101k,3
2009/10,Anaheim,G,"Giguere, Jean-Sebastien",Groin,$6.000m,$439k,6
2009/10,Anaheim,G,"Hiller, Jonas",Back,$1.300m,$63k,4
2009/10,Arizona,F,"Fiddler, Vernon",Lower body,$1.100m,$40k,6
2009/10,Arizona,F,"Hanzal, Martin",Lower body,$0.980m,$12k,1
2009/10,Arizona,F,"Lang, Robert",Lower body,$1.000m,$207k,17
2009/10,Arizona,F,"Lang, Robert",Undisclosed,$1.000m,$12k,1
2009/10,Arizona,F,"Lombardi, Matthew",Lower body,$1.817m,$22k,1
